# Log started at 2023-10-31 16:30:06.
# Total number of iterations = 45.
# Number of averages = 400.
# Scan range (start, stop, step) = (0.18, 0.4, 0.005).
# List of input parameters:
#   IN0 - RF generator.frequency (MHz): gen DG4, channel 2.
# List of actions:
#   ACT0 - Calibration.Stabilize lasers: calib iter 0, calib time (sec) 60, initial calib true.
#   ACT1 - Sorting: max iter 10000, MOT disable false.
#   ACT2 - Sequence.Clear.
#   ACT3 - Sequence.Delay: time (ms) 20.000000.
#   ACT4 - Sequence.Manual.
#   ACT5 - Sequence.Exec.
#   ACT6 - Camera.Shot.
# List of output parameters:
#   OUT0 - Trap.Filled: trap 58.
#          X         OUT0   STDEV_OUT0          IN0 
    0.180000        0.978        0.012     0.180000 
    0.185000        0.986        0.010     0.185000 
    0.190000        0.993        0.007     0.190000 
    0.195000        0.964        0.016     0.195000 
    0.200000        0.986        0.010     0.200000 
    0.205000        1.000        0.000     0.205000 
    0.210000        0.993        0.007     0.210000 
    0.215000        0.978        0.012     0.215000 
    0.220000        0.986        0.010     0.220000 
    0.225000        0.957        0.017     0.225000 
    0.230000        0.928        0.022     0.230000 
    0.235000        0.942        0.020     0.235000 
    0.240000        0.878        0.028     0.240000 
    0.245000        0.835        0.032     0.245000 
    0.250000        0.777        0.035     0.250000 
    0.255000        0.777        0.035     0.255000 
    0.260000        0.688        0.040     0.260000 
    0.265000        0.623        0.041     0.265000 
    0.270000        0.486        0.043     0.270000 
    0.275000        0.312        0.040     0.275000 
    0.280000        0.275        0.038     0.280000 
    0.285000        0.232        0.036     0.285000 
    0.290000        0.225        0.036     0.290000 
    0.295000        0.319        0.040     0.295000 
    0.300000        0.399        0.042     0.300000 
    0.305000        0.514        0.043     0.305000 
    0.310000        0.558        0.042     0.310000 
    0.315000        0.710        0.039     0.315000 
    0.320000        0.696        0.039     0.320000 
    0.325000        0.855        0.030     0.325000 
    0.330000        0.928        0.022     0.330000 
    0.335000        0.986        0.010     0.335000 
    0.340000        0.964        0.016     0.340000 
    0.345000        0.993        0.007     0.345000 
    0.350000        0.986        0.010     0.350000 
    0.355000        0.978        0.012     0.355000 
    0.360000        0.986        0.010     0.360000 
    0.365000        0.986        0.010     0.365000 
    0.370000        0.978        0.012     0.370000 
    0.375000        0.993        0.007     0.375000 
    0.380000        0.993        0.007     0.380000 
    0.385000        1.000        0.000     0.385000 
    0.390000        0.993        0.007     0.390000 
    0.395000        0.993        0.007     0.395000 
    0.400000        0.964        0.016     0.400000 
