"h0, MHz^2/MHz",Infidelity_Pi_Numerical,Infidelity_Pi_Theory,Infidelity_2Pi_Numerical,Infidelity_2Pi_Theory
0.00045,0.001166397388093765,0.0011103304951225526,0.002240420409289401,0.0022206609902451053
0.0005,0.0013688380740008999,0.0012337005501361696,0.0025133948679491036,0.002467401100272339
0.00055,0.0013731847561562205,0.001357070605149787,0.0026261807832023143,0.002714141210299574
0.0006,0.0013593978489824243,0.0014804406601634035,0.002903092213634828,0.002960881320326807
0.00065,0.0017434823132616017,0.0016038107151770205,0.003282935021560629,0.003207621430354041
0.0007,0.001909220949490087,0.0017271807701906376,0.00346909952676977,0.0034543615403812753
0.00075,0.0019009094395183723,0.0018505508252042546,0.0034599033307217697,0.003701101650408509
0.0008,0.0018674665199054363,0.0019739208802178718,0.003971969873982406,0.0039478417604357436
0.00085,0.0021179608595068844,0.0020972909352314885,0.004334058735258939,0.004194581870462977
0.0009,0.0020577878420299234,0.0022206609902451053,0.004348541830182295,0.0044413219804902105
0.00095,0.0024360952911597344,0.0023440310452587224,0.0048897850290077205,0.004688062090517445
0.001,0.002360637976470459,0.002467401100272339,0.005743020345113536,0.004934802200544678
0.00105,0.002772879232125325,0.002590771155285956,0.004441153478952464,0.005181542310571912
0.0011,0.002686522911800382,0.002714141210299574,0.005218275237040104,0.005428282420599148
0.00115,0.003074059692689479,0.0028375112653131903,0.006208959985827045,0.0056750225306263806
0.0012,0.0025300175057626495,0.002960881320326807,0.005818449266511649,0.005921762640653614
0.00125,0.0030153215783491616,0.003084251375340424,0.0060543300605272465,0.006168502750680848
0.0013,0.0029783729317780505,0.003207621430354041,0.005541426613792755,0.006415242860708082
0.00135,0.00309307736579989,0.0033309914853676586,0.0061427126557079825,0.006661982970735317
0.0014,0.004019732132549025,0.0034543615403812753,0.007295249275793503,0.006908723080762551
0.00145,0.00364336105148122,0.003577731595394892,0.006589434197942112,0.007155463190789784
0.0015,0.003642173537774074,0.003701101650408509,0.006831395477601365,0.007402203300817018
0.00155,0.0037527404509218876,0.003824471705422126,0.008090998610447375,0.007648943410844252
0.0016,0.003646178668061495,0.0039478417604357436,0.008947318847977503,0.007895683520871487
0.00165,0.004003338793782785,0.00407121181544936,0.008533444074616536,0.00814242363089872
0.0017,0.004158369049409583,0.004194581870462977,0.007303530767998279,0.008389163740925954
0.00175,0.004325392851115439,0.004317951925476594,0.008972594663206213,0.008635903850953188
0.0018,0.004707789050396927,0.0044413219804902105,0.008526551312845632,0.008882643960980421
0.00185,0.004125870956380728,0.004564692035503829,0.009495786099782189,0.009129384071007657
0.0019,0.00473097439394965,0.004688062090517445,0.010205179626052385,0.00937612418103489
0.00195,0.0050677156096756715,0.004811432145531061,0.009610269838108976,0.009622864291062122
0.002,0.0054180383539732535,0.004934802200544678,0.009131058632932287,0.009869604401089357
0.00205,0.0055061305020620566,0.005058172255558296,0.009136793571988489,0.010116344511116593
0.0021,0.005113886887343377,0.005181542310571912,0.01050036597121251,0.010363084621143824
0.00215,0.00491185274878192,0.005304912365585529,0.010181238292058747,0.010609824731171058
0.0022,0.0055472715797945105,0.005428282420599148,0.01012334210228849,0.010856564841198296
0.00225,0.0059723594477752995,0.005551652475612763,0.0118407114880561,0.011103304951225527
0.0023,0.0057681733661290036,0.0056750225306263806,0.010614351936830357,0.011350045061252761
0.00235,0.005565612872389658,0.005798392585639998,0.01109653328897009,0.011596785171279995
0.0024,0.005722366591658035,0.005921762640653614,0.011378149834675888,0.011843525281307228
0.00245,0.005748351890325298,0.006045132695667231,0.011755895415679674,0.012090265391334462
0.0025,0.006270157830509437,0.006168502750680848,0.012220466081240722,0.012337005501361697
0.00255,0.006763199906438366,0.006291872805694466,0.012815672026249558,0.012583745611388931
0.0026,0.006640692159544659,0.006415242860708082,0.0120557486706524,0.012830485721416164
0.00265,0.006920376256415062,0.0065386129157217,0.013300838875901388,0.0130772258314434
0.0027,0.007067470806638387,0.006661982970735317,0.012766513251766032,0.013323965941470634
0.00275,0.005938992819887301,0.006785353025748933,0.01361843348422942,0.013570706051497867
0.0028,0.007140600482249071,0.006908723080762551,0.01330336745163363,0.013817446161525101
0.00285,0.00705429887963005,0.007032093135776168,0.015169812973552577,0.014064186271552336
0.0029,0.006972752209487898,0.007155463190789784,0.013187704781053466,0.014310926381579568
0.00295,0.006529255313469928,0.007278833245803401,0.013452124375634478,0.014557666491606802
0.003,0.007577062233375731,0.007402203300817018,0.013354834598922283,0.014804406601634037
0.00305,0.00804304440118575,0.007525573355830636,0.01574579979085644,0.015051146711661271
0.0031,0.008340426947656354,0.007648943410844252,0.014521769270009477,0.015297886821688504
0.00315,0.007776318781485103,0.00777231346585787,0.015603539719163728,0.01554462693171574
0.0032,0.006929943852617471,0.007895683520871487,0.016427185808789102,0.015791367041742974
0.00325,0.007512417688328665,0.008019053575885103,0.015097144507956961,0.016038107151770207
0.0033,0.0076693598675896535,0.00814242363089872,0.01492464206780919,0.01628484726179744
0.00335,0.008020934084979836,0.008265793685912338,0.013618328779725353,0.016531587371824676
0.0034,0.008356298259667105,0.008389163740925954,0.018245377240992067,0.016778327481851908
0.00345,0.008962626324602208,0.00851253379593957,0.017740266407799132,0.01702506759187914
0.0035,0.008277704072834902,0.008635903850953188,0.016488216295411195,0.017271807701906377
0.00355,0.00850427418242572,0.008759273905966805,0.014957176842430253,0.01751854781193361
0.0036,0.008025234751932397,0.008882643960980421,0.0160364181795295,0.017765287921960842
0.00365,0.008263827088049958,0.009006014015994039,0.016461269109124932,0.018012028031988078
0.0037,0.009539145281774575,0.009129384071007657,0.017895938731158467,0.018258768142015314
0.00375,0.008173151624645714,0.009252754126021273,0.02129111121260574,0.018505508252042547
0.0038,0.008949081893987576,0.00937612418103489,0.016940578435516995,0.01875224836206978
0.00385,0.00861902206841847,0.009499494236048508,0.018380822000447328,0.018998988472097016
0.0039,0.009576114001873082,0.009622864291062122,0.019203447141628804,0.019245728582124245
0.00395,0.008822142758021623,0.009746234346075742,0.018670569337956633,0.019492468692151484
0.004,0.009558270157104198,0.009869604401089357,0.02008762168971112,0.019739208802178713
